CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Valores;Causa_Contingencia
10.375.382/0001-91;2021-12-01;1;0305515-64.2019.8.24.0023;55179.41;Execução do "Instrumento particular de contrato de locação de loja de uso comercial no Floripa Shopping", referente ao espaço de uso comercial n. 271 (loja Essenciale)
10.375.382/0001-91;2021-12-01;1;5004837-37.2019.8.24.0023;136546.36;Execução do "Instrumento Particular de Confissão de Dívida e Transação para Prevenir Litígio" referente ao quiosque Q11 (Ronkato Occhiali)
10.375.382/0001-91;2021-12-01;1;5004411-25.2019.8.24.0023;21476.95;Execução do "Distrato do instrumento particular de contrato de locação temporária de loja de uso comercial no Floripa Shopping Center"
10.375.382/0001-91;2021-12-01;1;5001652-81.2019.8.24.0090;14851.9;Ação proposta com o intuito de condenar o réu a pagar indenização por danos morais e materiais à autora por ocorrência de furto no estacionamento
10.375.382/0001-91;2021-12-01;1;5007861-73.2019.8.24.0023;17492.42;Execução do "Instrumento particular de contrato de locação temporária de loja de uso comercial" referemte ao quiosque QF (Vida Relax)
10.375.382/0001-91;2021-12-01;1;5007449-45.2019.8.24.0023;105197.68;Execução do "Instrumento particular de contrato de locação de loja de uso comercial no Floripa Shopping", referente à sala comercial n. 266-A (Wish)
10.375.382/0001-91;2021-12-01;1;5007804-55.2019.8.24.0023;132835.97;Execução do "Instrumento particular de contrato de locação de loja de uso comercial no Floripa Shopping", referente à sala comercial nº 225 (Forpem)
10.375.382/0001-91;2021-12-01;1;5007146-31.2019.8.24.0023;146179.28;Execução do "Instrumento Particular de Contrato de Locação de Loja de Uso Comercial no Floripa Shopping" referente ao espaço de uso comercial n.164
10.375.382/0001-91;2021-12-01;1;5008022-83.2019.8.24.0023;36677;Execução do "Instrumento Particular de Contrato de Locação de Loja de Uso Comercial no Floripa Shopping" referente ao espaço de uso comercial n.226
10.375.382/0001-91;2021-12-01;1;5012331-50.2019.8.24.0023;388231.83;Execução do "Instrumento Particular de Contrato de Locação de Loja de Uso Comercial no Floripa Shopping" referente ao espaço de uso comercial M006
10.375.382/0001-91;2021-12-01;1;5006196-85.2020.8.24.0023;11907.5;Execução do "Instrumento particular de contrato de locação de loja de uso comercial no Floripa Shopping", referente à sala comercial Q004 (Net 2012)
10.375.382/0001-91;2021-12-01;1;5010889-15.2020.8.24.0023;92283.96;Ação renovatória de locação
10.375.382/0001-91;2021-12-01;1;0000103-40.2020.5.12.0036;38715.06;Trata-se de Ação Trabalhista interposta por Funcionária Terceirizada pela empresa Orion, que requer responsabilidade solidária ou subsidiária das reclamadas, adicional de insalubridade (grau máximo), horas extras, desconsideração da jornada 12x36, descontos indevidos, dano material, dano moral e honorários sucumbenciais.
10.375.382/0001-91;2021-12-01;1;5026232-51.2020.8.24.0023;12119.88;Ação condenatória visando o pagamento de indenização a título de (i) danos morais em R$ 10.000,00 e (ii) lucros cessantes no valor de R$ 2.119,88 em razão de acidente ocorrido na pista de skate instalado no shopping
10.375.382/0001-91;2021-12-01;1;5057091-50.2020.8.24.0023;53569.88;Execução do "Distrato do instrumento particular de contrato de locação de espaço comercial no Floripa Shopping" referente ao espaço de uso comercial n. 258 (Spedini)
10.375.382/0001-91;2021-12-01;1;5054089-72.2020.8.24.0023;298085.17;Execução do "Instrumento Particular de Contrato de Locação de Loja de Uso Comercial no Floripa Shopping" referente ao espaço de uso comercial n. 246 (The Herd Steakhouse)
10.375.382/0001-91;2021-12-01;1;0001024-65.2020.5.12.0014;16759.91;Trata-se de Ação Trabalhista interposta por Funcionária Terceirizada pela empresa Orion, que requer responsabilidade subsidiária da reclamada, diferenças de verbas rescisórias, adicional de insalubridade (grau máximo), adicional de assiduidade não adimplido, e honorários sucumbenciais.
10.375.382/0001-91;2021-12-01;1;0000498-38.2020.5.12.0034;25374.14;Trata-se de Ação Trabalhista interposta por Funcionária Terceirizada pela empresa Orion, que requer responsabilidade subsidiária da reclamada, adicional de insalubridade (grau máximo), reconhecimento de acidente do trabalho, dano moral, pensão vitalícia e honorários sucumbenciais.
10.375.382/0001-91;2021-12-01;1;5011626-11.2020.8.24.0090;21917.6;Ação condenatória visando o pagamento de indenização a título de (i) danos morais em R$ 20.000,00 e (ii) danos materiais em  R$1.917,60 em razão de assinatura indesejada de revistas. A oferta foi apresentada no estacionamento do shopping.
10.375.382/0001-91;2021-12-01;1;5002797-14.2021.8.24.0023;38367.18;Trata-se de cumprimento de sentença, por meio do qual as Lojas Americanas requerem levantamento de valor de honorários advocatícios.
10.375.382/0001-91;2021-12-01;1;5003286-­51.2021.8.24.0023;68328;Ação Renovatória
10.375.382/0001-91;2021-12-01;1;5008381-62.2021.8.24.0023;287263.63;Execução de título extrajudicial visando a cobrança do valor do aluguel
10.375.382/0001-91;2021-12-01;1;5020959-57.2021.8.24.0023;88369.96;Execução do "Instrumento particular de contrato de locação de loja de uso comercial no Floripa Shopping" referente ao espaço comercial da LUC SS (subsolo)
10.375.382/0001-91;2021-12-01;1;5026527-88.2021.8.24.0023;6620.39;Trata-se de cumprimento de sentença que condenou a executada (Kansas Alimentos Ltda) ao pagamento de custas processuais e honorários advocatícios
14.365.190/0001-55;2021-12-01;1;52513.2016.811.0107 52645.2016.811.0107 52780.2016.811.0107;300.000,00;Embargos de terceiro opostos pelo Fundo Estrutura II apensos às execuções movidas pela AGROVERDE e pela GO AGRO, alegando que os imóveis da CPR objeto da execução não tem relação com as propriedades do Fundo Estrutura II
14.365.190/0001-55;2021-12-01;1;110310.2015.811.010710492.811.0107109363.2015.811.0107;300.000,00;Medidas cautelares ajuizadas pela AGROVERDE requerendo a sua nomeação como depositária judicial das lavouras de soja
15.333.306/0001-37;2021-12-01;1;0399173-57.2016.8.19.0001;0;Não há risco de perda, uma vez que se trata de crédito a receber. Referido crédito encontra-se em fase de habilitação na RJ.
15.333.306/0001-37;2021-12-01;1;0029413-55.2020.8.19.0001;231600;Em princípio, sem contingência passiva, na medida em que Fundo não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
15.333.306/0001-37;2021-12-01;1;0230698-36.2019.8.19.0001;0;Eventual perda da demanda implicará na condenação em honorários de sucumbência, em valor a ser eventualmente fixado pelo juiz da causa.
15.333.306/0001-37;2021-12-01;1;0070636-85.2020.8.19.0001;10032.3;Acordo. Aguarda-se cumprimento e posterior arquivamento do processo.
15.333.306/0001-37;2021-12-01;1;0131929-56.2020.8.19.0001;101643.6;Acordo.Pende homologação. Aguarda-se cumprimento e posterior arquivamento do processo.
15.333.306/0001-37;2021-12-01;1;0045173-47.2020.8.19.0000;0;Agravo - impossibilidade de executar a garantia pelo Itaú Seguros S.A. Demais impactos analisados na demanda principal.
15.333.306/0001-37;2021-12-01;1;0125434-93.2020.8.19.0001;0;Pedido de desistência. Aguarda-se homologação e arquivamento.
17.854.016/0001-64;2021-12-01;1;1007915-12.2017.8.26.0609;328959,4;Distrato
18.330.535/0001-96;2021-12-01;1;1032897-65.2017.8.26.0100;9.886.932,87;Trata-se de embargos opostos à execução de título extrajudicial (conexo ao Processo 1004974-64.2017.8.26.0100), movida pelo RB Capital Petros FII para cobrar os valores devidos a título de Prêmio de Locação,  conforme previsto na Escritura de Compra e Venda de Imóvel de fração ideal de 52% do imóvel localizado na cidade de Rio Grande/RS.
18.330.535/0001-96;2021-12-01;1;1005551-97.2017.8.26.0405;1.626.958,90;Trata-se de pedido de revisão judicial do cláusula contratual (conexos aos Processos n.º 1032897-65.2017.8.26.0100 e 1004974-64.2017.8.26.0100) que estabelece a obrigação das autoras pagarem o "Prêmio de Locação" em favor do RB Capital Petros FII, conforme previsto na Escritura de Compra e Venda de Imóvel de fração ideal de 52% do imóvel localizado na cidade de Rio Grande/RS.
18.330.535/0001-96;2021-12-01;1;1004974-64.2017.8.26.0100;9.790.678,58;Trata-se de ação de execução de título extrajudicial movida por RB Capital Petros Fundo de Investimento Imobiliário - FII em face de 5r Shopping Centers Ltda. e 5r Properties Ltda., em razão de não pagamento das parcelas referentes ao Prêmio de Locação dos meses de março, abril, maio, junho, julho, agosto, setembro, outubro, novembro e dezembro de 2016 - e parcelas vincendas - conforme previsto na Escritura de Compra e Venda de Imóvel de fração ideal de 52% (cinquenta e dois por cento) do imóvel localizado na Rua do Jockey Club, nº 155, na cidade de Rio Grande, Estado do Rio Grande do Sul, e todas as acessões e benfeitorias do Shopping Center correspondentes a tal fração ideal.
22.957.521/0001-74;2021-12-01;1;não se aplica;não se aplica;não se aplica
23.120.006/0001-06;2021-12-01;2;A286;8.494.871,69;Procedimento arbitral instaurado pela AGL
23.120.006/0001-06;2021-12-01;2;5123009-67.2021.8.13.0024;43.894;Procedimento arbitral instaurado pela RM
23.120.006/0001-06;2021-12-01;2;1063613-36.2021.8.26.0100;84.171,60;Procedimento arbitral instaurado pela Conven
23.120.006/0001-06;2021-12-01;2;5004823-97.2020.8.13.0290;27.461,98;Procedimento arbitral instaurado pela ATTR
23.570.871/0001-46;2021-12-01;1;N/A;0;N/A
23.964.908/0001-10;2021-12-01;1;N/A;0;N/A
26.642.834/0001-94;2021-12-01;1;5006926-58.2021.8.21.0019;3ª Vara Cível de Novo Hamburgo/RS;Objeto das Ações é o mesmo Imóvel.
26.642.834/0001-94;2021-12-01;1;5006907-52.2021.8.21.0019;3ª Vara Cível de Novo Hamburgo/RS;Objeto das Ações é o mesmo Imóvel.
28.693.595/0001-27;2021-12-01;1;N/A;0;N/A
